3.9638,2.3605,0.08
3.3918,2.6003,0.08
2.9839,2.2536,0.08
3.7594,2.9388,0.08
3.1452,2.5946,0.08
3.1878,2.6751,0.08
3.4401,2.9297,0.08
2.8144,2.3184,0.08
2.5586,3.0701,0.08
3.2378,3.4928,0.08
3.8138,2.5671,0.08
2.8936,3.6501,0.08
2.3052,2.2282,0.08
2.9677,2.8678,0.08
2.6804,2.0868,0.08
2.8828,2.5214,0.08
3.7467,2.0826,0.08
2.8873,2.4584,0.08
2.8604,2.365,0.08
2.8009,2.6162,0.08
4.0438,2.4405,0.16
3.4718,2.6803,0.16
3.0639,2.3336,0.16
3.8394,3.0188,0.16
3.2252,2.6746,0.16
3.2678,2.7551,0.16
3.5201,3.0097,0.16
2.8944,2.3984,0.16
2.6386,3.1501,0.16
3.3178,3.5728,0.16
3.8938,2.6471,0.16
2.9736,3.7301,0.16
2.3852,2.3082,0.16
3.0477,2.9478,0.16
2.7604,2.1668,0.16
2.9628,2.6014,0.16
3.8267,2.1626,0.16
2.9673,2.5384,0.16
2.9404,2.445,0.16
2.8809,2.6962,0.16
4.1238,2.5205,0.24
3.5518,2.7603,0.24
3.1439,2.4136,0.24
3.9194,3.0988,0.24
3.3052,2.7546,0.24
3.3478,2.8351,0.24
3.6001,3.0897,0.24
2.9744,2.4784,0.24
2.7186,3.2301,0.24
3.3978,3.6528,0.24
3.9738,2.7271,0.24
3.0536,3.8101,0.24
2.4652,2.3882,0.24
3.1277,3.0278,0.24
2.8404,2.2468,0.24
3.0428,2.6814,0.24
3.9067,2.2426,0.24
3.0473,2.6184,0.24
3.0204,2.525,0.24
2.9609,2.7762,0.24
4.2038,2.6005,0.32
3.6318,2.8403,0.32
3.2239,2.4936,0.32
3.9994,3.1788,0.32
3.3852,2.8346,0.32
3.4278,2.9151,0.32
3.6801,3.1697,0.32
3.0544,2.5584,0.32
2.7986,3.3101,0.32
3.4778,3.7328,0.32
4.0538,2.8071,0.32
3.1336,3.8901,0.32
2.5452,2.4682,0.32
3.2077,3.1078,0.32
2.9204,2.3268,0.32
3.1228,2.7614,0.32
3.9867,2.3226,0.32
3.1273,2.6984,0.32
3.1004,2.605,0.32
3.0409,2.8562,0.32
4.2838,2.6805,0.4
3.7118,2.9203,0.4
3.3039,2.5736,0.4
4.0794,3.2588,0.4
3.4652,2.9146,0.4
3.5078,2.9951,0.4
3.7601,3.2497,0.4
3.1344,2.6384,0.4
2.8786,3.3901,0.4
3.5578,3.8128,0.4
4.1338,2.8871,0.4
3.2136,3.9701,0.4
2.6252,2.5482,0.4
3.2877,3.1878,0.4
3.0004,2.4068,0.4
3.2028,2.8414,0.4
4.0667,2.4026,0.4
3.2073,2.7784,0.4
3.1804,2.685,0.4
3.1209,2.9362,0.4
4.3638,2.7605,0.48
3.7918,3.0003,0.48
3.3839,2.6536,0.48
4.1594,3.3388,0.48
3.5452,2.9946,0.48
3.5878,3.0751,0.48
3.8401,3.3297,0.48
3.2144,2.7184,0.48
2.9586,3.4701,0.48
3.6378,3.8928,0.48
4.2138,2.9671,0.48
3.2936,4.0501,0.48
2.7052,2.6282,0.48
3.3677,3.2678,0.48
3.0804,2.4868,0.48
3.2828,2.9214,0.48
4.1467,2.4826,0.48
3.2873,2.8584,0.48
